Date,Initial Claims - Composite
1992-09-01,324685.75
1992-10-01,331120.8
1992-11-01,364853.5
1992-12-01,415908.5
1993-01-01,511771.2
1993-02-01,360438.75
1993-03-01,336331
1993-04-01,327749.75
1993-05-01,290319.6
1993-06-01,297084.5
1993-07-01,367504.6
1993-08-01,279246.5
1993-09-01,263960.75
1993-10-01,304385.8
1993-11-01,340114.5
1993-12-01,402609.25
1994-01-01,527731
1994-02-01,372803.5
1994-03-01,321743
1994-04-01,312520.4
1994-05-01,306681.25
1994-06-01,296735.75
1994-07-01,363172.4
1994-08-01,275351.75
1994-09-01,255957.75
1994-10-01,287811
1994-11-01,324759.75
1994-12-01,418478.8
1995-01-01,504687.25
1995-02-01,360596.25
1995-03-01,326571
1995-04-01,318328.2
1995-05-01,316947.75
1995-06-01,322348.75
1995-07-01,396551.4
1995-08-01,291403.5
1995-09-01,278133.8
1995-10-01,326673.25
1995-11-01,370256.5
1995-12-01,464628.4
1996-01-01,559426.5
1996-02-01,404259.75
1996-03-01,363937.2
1996-04-01,331169
1996-05-01,294310
1996-06-01,306039.4
1996-07-01,371911.5
1996-08-01,269171
1996-09-01,261460
1996-10-01,295612.25
1996-11-01,340699
1996-12-01,449739.25
1997-01-01,523726.5
1997-02-01,345110.25
1997-03-01,297822
1997-04-01,305652
1997-05-01,270759.2
1997-06-01,300381
1997-07-01,357054
1997-08-01,268181
1997-09-01,240419.75
1997-10-01,268842
1997-11-01,315812
1997-12-01,397743.5
1998-01-01,477555
1998-02-01,330828.5
1998-03-01,292586
1998-04-01,287194.25
1998-05-01,260195.8
1998-06-01,313387.25
1998-07-01,372065
1998-08-01,255116
1998-09-01,232917.25
1998-10-01,272364.8
1998-11-01,320414.25
1998-12-01,391032.25
1999-01-01,490268
1999-02-01,312418.5
1999-03-01,280852
1999-04-01,285247.5
1999-05-01,257679.6
1999-06-01,265521
1999-07-01,316900.4
1999-08-01,235450.5
1999-09-01,222926.75
1999-10-01,253716.2
1999-11-01,284311.5
1999-12-01,351063.5
2000-01-01,430176.8
2000-02-01,304340
2000-03-01,255026.75
2000-04-01,246118.4
2000-05-01,241421.75
2000-06-01,262426
2000-07-01,314495
2000-08-01,254595.75
