Date,Index
30-09-1991,10.08307
31-10-1991,9.839586
30-11-1991,10.3953
31-12-1991,10.29751
31-01-1992,11.40458
29-02-1992,13.55597
31-03-1992,19.17901
30-04-1992,22.72012
31-05-1992,18.51578
30-06-1992,16.98692
31-07-1992,15.38469
31-08-1992,15.56448
30-09-1992,17.83682
31-10-1992,16.91372
30-11-1992,14.38695
31-12-1992,13.94548
31-01-1993,13.93052
28-02-1993,14.89767
31-03-1993,13.19023
30-04-1993,12.18051
31-05-1993,12.36387
30-06-1993,12.55048
31-07-1993,12.04664
31-08-1993,14.05861
30-09-1993,14.89586
31-10-1993,14.78685
30-11-1993,15.67662
31-12-1993,18.15983
31-01-1994,20.97506
28-02-1994,22.21638
31-03-1994,20.96147
30-04-1994,21.03572
31-05-1994,20.65815
30-06-1994,22.74575
31-07-1994,22.58779
31-08-1994,24.24023
30-09-1994,24.81134
31-10-1994,23.93092
30-11-1994,22.76439
31-12-1994,21.72337
31-01-1995,20.08391
28-02-1995,19.11169
31-03-1995,18.74524
30-04-1995,18.47563
31-05-1995,17.63316
30-06-1995,18.35018
31-07-1995,18.34138
31-08-1995,18.7151
30-09-1995,18.67968
31-10-1995,19.40418
30-11-1995,17.44577
31-12-1995,16.82995
31-01-1996,16.38589
29-02-1996,18.73022
31-03-1996,18.29996
30-04-1996,19.79775
31-05-1996,20.5267
30-06-1996,21.48655
31-07-1996,20.17477
31-08-1996,18.97007
30-09-1996,18.64525
31-10-1996,17.37851
30-11-1996,16.74322
31-12-1996,16.05243
31-01-1997,18.75629
28-02-1997,18.99245
31-03-1997,20.69352
30-04-1997,20.24786
31-05-1997,20.57483
30-06-1997,22.00777
31-07-1997,23.40816
31-08-1997,23.5193
30-09-1997,21.6959
31-10-1997,21.95423
30-11-1997,19.8647
31-12-1997,19.33495
31-01-1998,19.10044
28-02-1998,18.71452
31-03-1998,21.03949
30-04-1998,22.60104
31-05-1998,21.51535
30-06-1998,18.24589
31-07-1998,17.99417
31-08-1998,16.43592
30-09-1998,16.99405
31-10-1998,15.76525
30-11-1998,16.01785
31-12-1998,16.20264
31-01-1999,18.07869
28-02-1999,18.06015
31-03-1999,20.29144
30-04-1999,18.94973
31-05-1999,21.34232
30-06-1999,22.3672
31-07-1999,24.89395
31-08-1999,25.64516
30-09-1999,25.98683
31-10-1999,26.59464
30-11-1999,25.21851
31-12-1999,26.41067
31-01-2000,29.72846
29-02-2000,31.07808
31-03-2000,28.86299
30-04-2000,26.98384
31-05-2000,23.48838
30-06-2000,25.71424
31-07-2000,25.5597
31-08-2000,23.79291
30-09-2000,24.30682
31-10-2000,21.07562
30-11-2000,21.60417
31-12-2000,22.40143
31-01-2001,22.88025
28-02-2001,23.70529
31-03-2001,20.98928
30-04-2001,19.12151
31-05-2001,19.85311
30-06-2001,18.91422
31-07-2001,18.40746
31-08-2001,18.18174
30-09-2001,16.05025
31-10-2001,16.12236
30-11-2001,17.43788
31-12-2001,18.22019
31-01-2002,18.44288
28-02-2002,19.40679
31-03-2002,19.64758
30-04-2002,18.89288
31-05-2002,18.1741
30-06-2002,17.91335
31-07-2002,17.68147
31-08-2002,16.78394
30-09-2002,16.97116
31-10-2002,16.23857
30-11-2002,16.79962
31-12-2002,18.24603
31-01-2003,18.3018
28-02-2003,18.02472
31-03-2003,17.30852
30-04-2003,16.67862
31-05-2003,16.66536
30-06-2003,18.62756
31-07-2003,20.15967
31-08-2003,21.86299
30-09-2003,23.73065
31-10-2003,25.99925
30-11-2003,27.22584
31-12-2003,29.88707
31-01-2004,32.71287
29-02-2004,32.01048
31-03-2004,30.92078
30-04-2004,31.99618
31-05-2004,28.62501
30-06-2004,26.53076
31-07-2004,27.3503
31-08-2004,28.29238
30-09-2004,29.82745
31-10-2004,31.32117
30-11-2004,32.8029
31-12-2004,35.16544
31-01-2005,34.6177
28-02-2005,36.27213
31-03-2005,36.6783
30-04-2005,35.10868
31-05-2005,35.654
30-06-2005,38.13478
31-07-2005,40.42142
31-08-2005,42.50231
30-09-2005,45.41555
31-10-2005,45.29549
30-11-2005,46.6973
31-12-2005,50.39043
31-01-2006,52.48018
28-02-2006,55.48202
31-03-2006,59.69935
30-04-2006,64.33659
31-05-2006,63.85469
30-06-2006,54.52058
31-07-2006,58.06329
31-08-2006,62.17848
30-09-2006,66.19511
31-10-2006,69.42603
30-11-2006,73.78553
31-12-2006,74.91328
31-01-2007,76.98945
28-02-2007,77.84199
31-03-2007,70.78297
30-04-2007,73.96368
31-05-2007,77.7233
30-06-2007,78.83725
31-07-2007,83.89227
31-08-2007,81.33635
30-09-2007,88.25154
31-10-2007,101.4697
30-11-2007,105.9256
31-12-2007,108.881
31-01-2008,106.2892
29-02-2008,97.49973
31-03-2008,86.85198
30-04-2008,89.52554
31-05-2008,93.40715
30-06-2008,82.48357
31-07-2008,75.43764
31-08-2008,80.97083
30-09-2008,76.96085
31-10-2008,58.44757
30-11-2008,51.90098
31-12-2008,52.25303
31-01-2009,51.31645
28-02-2009,50.43845
31-03-2009,49.0566
30-04-2009,59.88601
31-05-2009,71.32224
30-06-2009,81.30214
31-07-2009,80.49211
31-08-2009,84.77917
30-09-2009,90.04924
31-10-2009,92.66615
30-11-2009,91.55555
31-12-2009,94.12428
31-01-2010,94.85841
28-02-2010,89.07449
31-03-2010,94.98991
30-04-2010,97.27011
31-05-2010,92.64326
30-06-2010,95.14693
31-07-2010,98.16132
31-08-2010,99.97095
30-09-2010,106.3005
31-10-2010,111.3716
30-11-2010,110.6277
31-12-2010,109.5848
31-01-2011,106.0015
28-02-2011,99.19965
31-03-2011,101.5084
30-04-2011,107.0292
31-05-2011,100.7882
30-06-2011,100.2573
31-07-2011,102.3884
31-08-2011,92.81789
30-09-2011,91.81509
31-10-2011,92.37614
30-11-2011,92.05192
31-12-2011,87.98958
31-01-2012,90.27209
29-02-2012,98.21671
31-03-2012,95.66277
30-04-2012,95.18598
31-05-2012,90.39826
30-06-2012,92.05264
31-07-2012,94.65436
31-08-2012,96.76979
30-09-2012,99.89263
31-10-2012,102.9852
30-11-2012,102.7239
31-12-2012,106.4778
31-01-2013,109.3086
28-02-2013,107.0486
31-03-2013,105.1101
30-04-2013,103.626
31-05-2013,109.6733
30-06-2013,105.2092
31-07-2013,108.4015
31-08-2013,102.7445
30-09-2013,107.8543
31-10-2013,112.4889
30-11-2013,113.4338
31-12-2013,115.3675
31-01-2014,115.1868
28-02-2014,112.9934
31-03-2014,119.9986
30-04-2014,124.18
31-05-2014,130.2681
30-06-2014,138.745
31-07-2014,141.5405
31-08-2014,143.48
30-09-2014,148.0052
31-10-2014,146.4301
30-11-2014,154.6394
31-12-2014,151.9989
31-01-2015,155.4763
28-02-2015,159.1759
31-03-2015,157.2025
30-04-2015,154.9238
31-05-2015,150.7344
30-06-2015,149.2557
31-07-2015,154.0831
31-08-2015,150.625
30-09-2015,141.4812
31-10-2015,148.4335
30-11-2015,142.9718
31-12-2015,141.1607
31-01-2016,136.2087
29-02-2016,130.2833
31-03-2016,136.6751
30-04-2016,140.1208
31-05-2016,141.3128
30-06-2016,146.9449
31-07-2016,152.2779
31-08-2016,154.07
30-09-2016,156.7314
31-10-2016,154.0518
30-11-2016,146.972
31-12-2016,145.0485
31-01-2017,149.543
28-02-2017,156.6327
31-03-2017,160.902
30-04-2017,163.3187
31-05-2017,167.1874
30-06-2017,171.291
31-07-2017,175.3347
31-08-2017,174.6248
30-09-2017,175.376
31-10-2017,177.9035
30-11-2017,183.67
31-12-2017,183.966
31-01-2018,192.692
28-02-2018,188.5791
31-03-2018,183.2786
30-04-2018,187.7979
31-05-2018,192.9534
30-06-2018,194.7248
31-07-2018,200.2315
31-08-2018,209.3382
