DATE,Reconstructed CPI
1885-11-01,7.387481271
1885-12-01,7.484684972
1886-01-01,7.389942124
1886-02-01,7.389942124
1886-03-01,7.295199276
1886-04-01,7.295199276
1886-05-01,7.200456429
1886-06-01,7.200456429
1886-07-01,7.200456429
1886-08-01,7.297759894
1886-09-01,7.297759894
1886-10-01,7.297759894
1886-11-01,7.297759894
1886-12-01,7.297759894
1887-01-01,7.395063359
1887-02-01,7.395063359
1887-03-01,7.395063359
1887-04-01,7.395063359
1887-05-01,7.395063359
1887-06-01,7.395063359
1887-07-01,7.300254854
1887-08-01,7.397591586
1887-09-01,7.302750668
1887-10-01,7.400120677
1887-11-01,7.400120677
1887-12-01,7.497490686
1888-01-01,7.497490686
1888-02-01,7.497490686
1888-03-01,7.497490686
1888-04-01,7.497490686
1888-05-01,7.497490686
1888-06-01,7.40258574
1888-07-01,7.499988184
1888-08-01,7.499988184
1888-09-01,7.499988184
1888-10-01,7.499988184
1888-11-01,7.499988184
1888-12-01,7.499988184
1889-01-01,7.405051625
1889-02-01,7.502486515
1889-03-01,7.407518331
1889-04-01,7.407518331
1889-05-01,7.407518331
1889-06-01,7.407518331
1889-07-01,7.407518331
1889-08-01,7.407518331
1889-09-01,7.407518331
1889-10-01,7.407518331
1889-11-01,7.407518331
1889-12-01,7.407518331
1890-01-01,7.407518331
1890-02-01,7.407518331
1890-03-01,7.407518331
1890-04-01,7.407518331
1890-05-01,7.504985678
1890-06-01,7.504985678
1890-07-01,7.409985859
1890-08-01,7.507485673
1890-09-01,7.604985487
1890-10-01,7.509923168
1890-11-01,7.41486085
1890-12-01,7.41486085
1891-01-01,7.41486085
1891-02-01,7.41486085
1891-03-01,7.512424808
1891-04-01,7.512424808
1891-05-01,7.417330823
1891-06-01,7.417330823
1891-07-01,7.417330823
1891-08-01,7.322236838
1891-09-01,7.322236838
1891-10-01,7.322236838
1891-11-01,7.322236838
1891-12-01,7.322236838
1892-01-01,7.227142853
1892-02-01,7.324806946
1892-03-01,7.229679583
1892-04-01,7.229679583
1892-05-01,7.327377956
1892-06-01,7.327377956
1892-07-01,7.232217203
1892-08-01,7.329949868
1892-09-01,7.329949868
1892-10-01,7.329949868
1892-11-01,7.329949868
1892-12-01,7.427682533
1893-01-01,7.525415198
1893-02-01,7.525415198
1893-03-01,7.525415198
1893-04-01,7.430156778
1893-05-01,7.334898357
1893-06-01,7.239639937
1893-07-01,7.051597341
1893-08-01,7.149536193
1893-09-01,7.054209044
1893-10-01,7.15218417
1893-11-01,7.15218417
1893-12-01,7.056821714
1894-01-01,6.961459259
1894-02-01,6.866096803
1894-03-01,6.866096803
1894-04-01,6.866096803
1894-05-01,6.770734347
1894-06-01,6.868860932
1894-07-01,6.868860932
1894-08-01,6.868860932
1894-09-01,6.966987517
1894-10-01,6.871549332
1894-11-01,6.871549332
1894-12-01,6.871549332
1895-01-01,6.871549332
1895-02-01,6.871549332
1895-03-01,6.871549332
1895-04-01,6.969714322
1895-05-01,7.067879313
1895-06-01,7.067879313
1895-07-01,7.067879313
1895-08-01,7.067879313
1895-09-01,7.067879313
1895-10-01,7.067879313
1895-11-01,6.97236743
1895-12-01,6.97236743
1896-01-01,6.97236743
1896-02-01,6.97236743
1896-03-01,6.876855547
1896-04-01,6.876855547
1896-05-01,6.876855547
1896-06-01,6.876855547
1896-07-01,6.876855547
1896-08-01,6.781343665
1896-09-01,6.781343665
1896-10-01,6.879624008
1896-11-01,6.977904351
1896-12-01,6.977904351
1897-01-01,6.88231662
1897-02-01,6.88231662
1897-03-01,6.88231662
1897-04-01,6.88231662
1897-05-01,6.88231662
1897-06-01,6.88231662
1897-07-01,6.88231662
1897-08-01,6.980635429
1897-09-01,7.078954238
1897-10-01,7.078954238
1897-11-01,7.078954238
1897-12-01,7.078954238
1898-01-01,7.078954238
1898-02-01,7.177273047
1898-03-01,7.081576073
1898-04-01,7.081576073
1898-05-01,7.179931296
1898-06-01,7.084198879
1898-07-01,7.084198879
1898-08-01,7.084198879
1898-09-01,7.084198879
1898-10-01,7.18259053
1898-11-01,7.18259053
1898-12-01,7.18259053
1899-01-01,7.280982181
1899-02-01,7.280982181
1899-03-01,7.280982181
1899-04-01,7.379373832
1899-05-01,7.477765483
1899-06-01,7.477765483
1899-07-01,7.477765483
1899-08-01,7.477765483
1899-09-01,7.677172562
1899-10-01,7.677172562
